DBCODE,ENTITY,REACH,SERIES,TEST,DATANUM,DATE,TIME,CONCEN,MASSFLUX,DISCHARGE,TEMP
HF011,1,WS3,Early,1,240,4/21/2001,1200,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,241,4/21/2001,1205,0,-0.09,27.5,7.4
HF011,1,WS3,Early,1,242,4/21/2001,1210,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,243,4/21/2001,1215,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,244,4/21/2001,1220,0.03,0.79,27.5,7.4
HF011,1,WS3,Early,1,245,4/21/2001,1225,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,246,4/21/2001,1230,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,247,4/21/2001,1235,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,248,4/21/2001,1240,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,249,4/21/2001,1245,-0.01,-0.2,27.5,7.4
HF011,1,WS3,Early,1,250,4/21/2001,1250,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,251,4/21/2001,1255,-0.01,-0.2,27.5,7.4
HF011,1,WS3,Early,1,252,4/21/2001,1260,-0.01,-0.39,27.5,7.4
HF011,1,WS3,Early,1,253,4/21/2001,1265,-0.01,-0.2,27.5,7.4
HF011,1,WS3,Early,1,254,4/21/2001,1270,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,255,4/21/2001,1275,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,256,4/21/2001,1280,-0.01,-0.33,27.5,7.4
HF011,1,WS3,Early,1,257,4/21/2001,1285,-0.01,-0.22,27.5,7.4
HF011,1,WS3,Early,1,258,4/21/2001,1290,-0.01,-0.2,27.5,7.4
HF011,1,WS3,Early,1,259,4/21/2001,1295,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,260,4/21/2001,1300,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,261,4/21/2001,1305,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,262,4/21/2001,1310,-0.01,-0.33,27.5,7.4
HF011,1,WS3,Early,1,263,4/21/2001,1315,-0.02,-0.44,27.5,7.4
HF011,1,WS3,Early,1,264,4/21/2001,1320,-0.01,-0.33,27.5,7.4
HF011,1,WS3,Early,1,265,4/21/2001,1325,-0.01,-0.33,27.5,7.4
HF011,1,WS3,Early,1,266,4/21/2001,1330,-0.01,-0.39,27.5,7.4
HF011,1,WS3,Early,1,267,4/21/2001,1335,-0.02,-0.52,27.5,7.4
HF011,1,WS3,Early,1,268,4/21/2001,1340,-0.01,-0.39,27.5,7.4
HF011,1,WS3,Early,1,269,4/21/2001,1345,-0.01,-0.33,27.5,7.4
HF011,1,WS3,Early,1,270,4/21/2001,1350,-0.02,-0.44,27.5,7.4
HF011,1,WS3,Early,1,271,4/21/2001,1355,-0.01,-0.39,27.5,7.4
HF011,1,WS3,Early,1,272,4/21/2001,1360,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,273,4/21/2001,1365,-0.01,-0.33,27.5,7.4
HF011,1,WS3,Early,1,274,4/21/2001,1370,-0.02,-0.5,27.5,7.4
HF011,1,WS3,Early,1,275,4/21/2001,1375,-0.01,-0.39,27.5,7.4
HF011,1,WS3,Early,1,276,4/21/2001,1380,-0.01,-0.39,27.5,7.4
HF011,1,WS3,Early,1,277,4/21/2001,1385,-0.02,-0.5,27.5,7.4
HF011,1,WS3,Early,1,278,4/21/2001,1390,-0.01,-0.39,27.5,7.4
HF011,1,WS3,Early,1,279,4/21/2001,1395,-0.02,-0.5,27.5,7.4
HF011,1,WS3,Early,1,280,4/21/2001,1400,-0.02,-0.63,27.5,7.4
HF011,1,WS3,Early,1,281,4/21/2001,1405,-0.02,-0.5,27.5,7.4
HF011,1,WS3,Early,1,282,4/21/2001,1410,-0.02,-0.66,27.5,7.4
HF011,1,WS3,Early,1,283,4/21/2001,1415,-0.02,-0.58,27.5,7.4
HF011,1,WS3,Early,1,284,4/21/2001,1420,-0.02,-0.63,27.5,7.4
HF011,1,WS3,Early,1,285,4/21/2001,1425,-0.02,-0.5,27.5,7.4
HF011,1,WS3,Early,1,286,4/21/2001,1430,-0.02,-0.63,27.5,7.4
HF011,1,WS3,Early,1,287,4/21/2001,1435,-0.02,-0.44,27.5,7.4
HF011,1,WS3,Early,1,288,4/21/2001,1440,-0.02,-0.52,27.5,7.4
HF011,1,WS3,Early,1,289,4/21/2001,1445,-0.02,-0.5,27.5,7.4
HF011,1,WS3,Early,1,290,4/21/2001,1450,-0.02,-0.5,27.5,7.4
HF011,1,WS3,Early,1,291,4/21/2001,1455,-0.02,-0.58,27.5,7.4
HF011,1,WS3,Early,1,292,4/21/2001,1460,-0.02,-0.44,27.5,7.4
HF011,1,WS3,Early,1,293,4/21/2001,1465,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,294,4/21/2001,1470,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,295,4/21/2001,1475,-0.01,-0.22,27.5,7.4
HF011,1,WS3,Early,1,296,4/21/2001,1480,-0.01,-0.39,27.5,7.4
HF011,1,WS3,Early,1,297,4/21/2001,1485,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,298,4/21/2001,1490,-0.01,-0.22,27.5,7.4
HF011,1,WS3,Early,1,299,4/21/2001,1495,-0.02,-0.44,27.5,7.4
HF011,1,WS3,Early,1,300,4/21/2001,1500,-0.01,-0.22,27.5,7.4
HF011,1,WS3,Early,1,301,4/21/2001,1505,-0.01,-0.2,27.5,7.4
HF011,1,WS3,Early,1,302,4/21/2001,1510,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,303,4/21/2001,1515,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,304,4/21/2001,1520,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,305,4/21/2001,1525,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,306,4/21/2001,1530,-0.01,-0.22,27.5,7.4
HF011,1,WS3,Early,1,307,4/21/2001,1535,0,0.02,27.5,7.4
